feature,coefficient
company,-0.6585105742015305
com,-0.6374744528030624
company com,-0.6374744528030624
security,-0.30989372372621304
contact,-0.29736639902864703
be verified,-0.2918571018301222
avoid suspension,-0.2918571018301222
method could,-0.2918571018301222
verified update,-0.2918571018301222
verified,-0.2918571018301222
warning confirm,-0.2918571018301222
suspension,-0.2918571018301222
for,-0.27565373324679465
at https,-0.2690066767400906
account now,-0.2676497083664245
thank,-0.264247115239106
thank you,-0.264247115239106
ready,-0.2610514646038913
is ready,-0.2610514646038913
https www,-0.2575697226112929
com help,-0.2575697226112929
www,-0.2575697226112929
www company,-0.2575697226112929
help,-0.2575697226112929
email address,-0.25249292415234453
your email,-0.25249292415234453
updates,-0.24669726793400665
account we,-0.24502514303654122
detected unusual,-0.24502514303654122
in other,-0.24502514303654122
